,dominant_topic,document_id,document_score
0,4,16,0.19150596441499623
1,3,18,0.16669302200566835
2,0,22,0.11528072656066995
3,8,36,0.12543723791961978
4,7,38,0.12216401574795334
5,5,46,0.23475047925557985
6,3,52,0.06437092790158708
7,4,58,0.0701467268747479
8,1,61,0.18751101011642132
9,5,63,0.23149215366839282
10,6,67,0.017082513626572326
11,7,69,0.10516265642882339
12,9,70,0.08353128407246661
13,7,74,0.10166720153470547
14,5,76,0.43239054024026286
15,7,81,0.08385450767914608
16,6,83,0.09484026833861062
17,5,86,0.3924608136698279
18,9,87,0.04011590424536324
19,7,94,0.2047078430846105
20,2,97,0.22904708252814232
21,3,98,0.19904515974177317
22,6,100,0.3300043621965976
23,7,102,0.20522563244931452
24,5,107,0.018700871214267542
25,0,109,0.14876167977474714
26,0,110,0.22668771784449754
27,3,120,0.09909948148890879
28,4,122,0.2638911892792828
29,3,124,0.35936365644819035
30,3,126,0.04628114033649728
31,3,127,0.11159459741908423
32,5,131,0.11270994059710149
33,7,132,0.05799939183158223
34,7,137,0.2190345615774481
35,2,141,0.29142816105145475
36,0,142,0.11003006089732865
37,4,149,0.09882300573486384
38,5,151,0.3496919377931419
39,5,152,0.23833010264783766
40,8,153,0.1233489824520605
41,5,162,0.25276789725135934
42,7,163,0.16626376467394932
43,8,164,0.11141214917319722
44,8,168,0.17537468997496763
45,7,169,0.0968201443773112
46,8,170,0.1278977022516405
47,2,171,0.4033897354573605
48,6,172,0.028878542329695778
49,3,190,0.22515406304245705
50,6,192,0.4809089975933204
51,3,193,0.42244161441455574
52,1,211,0.13016962801727305
53,3,214,0.26783389180171363
54,4,215,0.1745882804902571
55,0,219,0.46889265058938645
56,4,220,0.18496898122807284
57,1,227,0.27742048612135206
58,9,229,0.05138488772698396
59,2,231,0.531157111993501
60,5,237,0.14035852959812378
61,2,239,0.4031705776304344
62,9,244,0.31341707111068107
63,4,247,0.07630489622496613
64,6,248,0.1885548536257786
65,6,251,0.04493547540555268
66,6,266,0.017082513626572326
67,9,271,0.3511957585735049
68,0,272,0.27079009725804093
69,4,273,0.2943111037133871
70,5,274,0.24178075057276066
71,8,276,0.09961239004759334
72,7,280,0.06348431494113879
73,4,281,0.1435718275345245
74,6,283,0.1808481719934864
75,1,284,0.09235925270759276
76,9,285,0.053943299063895236
77,4,286,0.06258430185145224
78,0,289,0.18563008080923435
79,3,290,0.12583356164160941
80,9,291,0.23315470291295315
81,0,293,0.022990383283405486
82,1,296,0.26457090934440003
83,2,307,0.493992609307283
84,2,312,0.5413202310864892
85,8,315,0.18007360564311406
86,5,330,0.05829355202619312
87,0,333,0.21171032179760588
88,0,339,0.17302952506850572
89,5,341,0.39745906522923513
90,7,342,0.17403410875497402
91,0,344,0.1538749917295384
92,0,347,0.2551148762749628
93,5,350,0.18373890071478954
94,1,356,0.4176090879607202
95,5,358,0.06859620124434568
96,5,359,0.15820338569674774
97,9,360,0.05855324652309312
98,7,371,0.21494949021678209
99,7,373,0.10154039342579181
100,0,374,0.1997382193317361
101,5,376,0.20303730465672437
102,2,383,0.5207780404025815
103,5,385,0.4229633196188993
104,6,388,0.017082513626572326
105,5,391,0.09187399249983821
106,9,395,0.011759061866206151
107,5,398,0.39059669061559066
108,4,403,0.09972114515837188
109,6,411,0.09376862517935036
110,9,419,0.04937572992941654
111,6,420,0.06237628275029001
112,9,421,0.13927419847349107
113,5,429,0.173359881924764
114,8,430,0.13371948318873295
115,6,431,0.05916953820463849
116,2,437,0.443349400916735
117,1,443,0.050998386812943226
118,0,445,0.13206915422989499
119,9,456,0.16038114919809565
120,0,457,0.2051715775580099
121,7,460,0.3138318494773255
122,5,461,0.5557473852265007
123,7,468,0.16500097602598912
124,8,472,0.12188784290240208
125,2,475,0.11259789255703165
126,9,476,0.05711742847567968
127,7,480,0.1387365189433996
128,5,485,0.03893175536836417
129,3,496,0.2226776432245954
130,9,500,0.08399374622482994
131,7,507,0.16681308200382233
132,6,508,0.09822943989418383
133,0,512,0.07626796201233167
134,1,520,0.14954034345838071
135,0,525,0.1547894247380876
136,7,528,0.14506897407331074
137,6,530,0.017082513626572326
138,5,534,0.19168146725152282
139,4,535,0.15207439361883232
140,4,546,0.15470379257632427
141,5,549,0.05644605049636487
142,1,551,0.3685583219836061
143,8,553,0.06159408600463936
144,4,557,0.46805134281926614
145,7,558,0.11910258429901777
146,7,561,0.06989802986207967
147,6,562,0.07490944651705342
148,5,563,0.24569294547220344
149,0,565,0.22098747120633686
150,0,570,0.17458113165968736
151,5,571,0.17535545984263723
152,6,579,0.0684445805280499
153,6,583,0.1342564374734419
154,0,593,0.06249016118290915
155,1,594,0.15871971426838616
156,1,595,0.0618953494935018
157,5,597,0.11602719716044906
158,8,603,0.13016734949420566
159,4,613,0.12045671729124736
160,8,617,0.055984420416525016
161,5,619,0.3097199024598177
162,0,620,0.22536582025130175
163,1,622,0.09859820838368158
164,2,637,0.18260852171352626
165,5,642,0.09098337229040991
166,1,644,0.08576074296757608
167,9,645,0.05383236073698742
168,9,646,0.06929389018786197
169,9,647,0.20652091154218766
170,7,648,0.12155369581879422
171,4,649,0.07468209999941677
172,4,650,0.10468092394521375
173,9,655,0.21684584827285958
174,4,656,0.3176199842270856
175,4,660,0.09083729754212241
176,5,664,0.13490887153072695
177,1,666,0.09859820838368158
178,8,667,0.16820466996541944
179,7,668,0.2516629836550153
180,1,676,0.1644583817237575
181,4,677,0.08472063268520458
182,9,687,0.23951463022841732
183,3,689,0.12132345129554023
184,2,692,0.2306853067215235
185,7,693,0.06569038727082835
186,9,694,0.0733907072488163
187,0,696,0.2978393603171196
188,6,704,0.0739190128537916
