,dominant_topic,document_id,document_score
0,1,16,0.17144866828544858
1,6,18,0.18714180930317126
2,0,22,0.06998114491532915
3,5,36,0.14513601770177945
4,7,38,0.10924388216517254
5,0,46,0.20197475243398325
6,4,52,0.08430534579771409
7,1,58,0.0669558944946779
8,2,61,0.15019769154523996
9,0,63,0.20598820128128068
10,9,67,0.014556967464122206
11,7,69,0.12614114236587248
12,8,70,0.07109006452482601
13,7,74,0.0920904821374806
14,0,76,0.407814372685381
15,8,81,0.0947462593835193
16,9,83,0.08081870915918564
17,0,86,0.3546301371679979
18,8,87,0.03516717536879789
19,7,94,0.2233407356187826
20,4,97,0.1923578871313193
21,6,98,0.2176004221840695
22,9,100,0.28121521624556056
23,7,102,0.17540353185677734
24,0,107,0.02225320875186266
25,0,109,0.0755786327939313
26,0,110,0.08703456506301083
27,6,120,0.10654899560056633
28,1,122,0.23625265726007533
29,6,124,0.3011750932839457
30,6,126,0.0512227122927448
31,6,127,0.1151441420301133
32,0,131,0.11182932173821473
33,7,132,0.09191755451208011
34,7,137,0.218419635496659
35,4,141,0.24250466994078823
36,0,142,0.13556518282530802
37,1,149,0.09963547804905737
38,0,151,0.3241026293736608
39,0,152,0.22151309711903683
40,5,153,0.13678824145919694
41,0,162,0.22680300572103748
42,7,163,0.14282067470907947
43,5,164,0.13168095040191197
44,5,168,0.1985025193059066
45,2,169,0.18538864244013412
46,5,170,0.1255758821014716
47,4,171,0.3648955511567726
48,9,172,0.024609024777872173
49,4,190,0.28914076220618323
50,9,192,0.41835100434301653
51,6,193,0.44347437273187956
52,2,211,0.10472417243025042
53,6,214,0.28669996982563717
54,1,215,0.15630285082628467
55,7,219,0.4054505061943266
56,1,220,0.16559633326587872
57,2,227,0.269245549144418
58,8,229,0.0468096825711305
59,4,231,0.4817116741295136
60,0,237,0.12924306640372485
61,4,239,0.34232119781307385
62,8,244,0.31091390971652294
63,1,247,0.0683131352143169
64,9,248,0.16724545612340733
65,9,251,0.04391124843409547
66,9,266,0.014556967464122206
67,8,271,0.3452925282809344
68,0,272,0.15824300622650123
69,1,273,0.2634865548309233
70,0,274,0.21869472353646924
71,5,276,0.09812214041183845
72,7,280,0.05827570426089617
73,1,281,0.132812611680466
74,9,283,0.1541108652511229
75,2,284,0.0667301506135421
76,8,285,0.04829441221333456
77,1,286,0.056029561485374746
78,7,289,0.11707780083925487
79,6,290,0.08321928058677354
80,8,291,0.23894464177305136
81,0,293,0.015612063768909185
82,2,296,0.20704788583891576
83,4,307,0.43046452705286314
84,4,312,0.4785722799640557
85,5,315,0.21424901714645875
86,0,330,0.0508498736083403
87,7,333,0.13006392877022288
88,0,339,0.0987097451812121
89,0,341,0.36031714492485645
90,2,342,0.33681284610440515
91,0,344,0.08685046715137307
92,0,347,0.20071922484981766
93,0,350,0.18226532944605572
94,2,356,0.34438510405138434
95,0,358,0.06205991700745607
96,0,359,0.13764542170841612
97,8,360,0.05206272388546626
98,7,371,0.20376210574163295
99,7,373,0.10364964457939745
100,0,374,0.25495988060989483
101,0,376,0.17553653971484437
102,4,383,0.4271252019761164
103,0,385,0.37596550310700977
104,9,388,0.014556967464122206
105,0,391,0.0935794892875462
106,8,395,0.009612215860580236
107,0,398,0.3552706037348125
108,1,403,0.09497550335294923
109,9,411,0.07990550194954908
110,8,419,0.054112069921969555
111,1,420,0.0380039477210596
112,8,421,0.1169236820250969
113,0,429,0.17707866724055743
114,8,430,0.1354024236624281
115,9,431,0.057624777600293275
116,4,437,0.3778121494451173
117,2,443,0.03684666054899351
118,7,445,0.09385623533280212
119,8,456,0.1658568986457819
120,0,457,0.17273920938870754
121,7,460,0.2968664200385275
122,0,461,0.49631943605794654
123,7,468,0.1526471787604647
124,5,472,0.12860470828884765
125,4,475,0.09537142145335206
126,8,476,0.04716618584013457
127,7,480,0.12838815850973131
128,0,485,0.04028518688599336
129,6,496,0.24672377859864372
130,8,500,0.07285856436291906
131,7,507,0.15051425751926623
132,9,508,0.08904797297675421
133,0,512,0.046719464863320674
134,9,520,0.09482241136875398
135,0,525,0.10944795728334454
136,7,528,0.14465074317978746
137,9,530,0.014556967464122206
138,0,534,0.17708948639807093
139,1,535,0.14276598365416665
140,1,546,0.14426216678908943
141,0,549,0.051004754723946916
142,2,551,0.3219582531074879
143,5,553,0.0681935139399436
144,1,557,0.43609940141942405
145,2,558,0.17686615747353968
146,2,561,0.13462813279440397
147,9,562,0.07021799247440429
148,0,563,0.22885613252371245
149,7,565,0.15864053967033057
150,7,570,0.10708745057930658
151,0,571,0.14931675278827894
152,9,579,0.058325463899672914
153,9,583,0.14326773379535246
154,0,593,0.0476335632118068
155,2,594,0.11117657655695402
156,9,595,0.0884874740191873
157,0,597,0.1084370573906989
158,5,603,0.13177070027437712
159,1,613,0.10784073398814686
160,7,617,0.08335443293941913
161,0,619,0.29458750256272
162,7,620,0.18374662279868068
163,2,622,0.0712378359805372
164,4,637,0.18504894622079496
165,0,642,0.08774175137889727
166,2,644,0.06196268513642006
167,8,645,0.05626378546596984
168,8,646,0.06335206192892508
169,8,647,0.20394647315748227
170,7,648,0.1084603991382874
171,1,649,0.06686030186461417
172,1,650,0.0978731670513073
173,8,655,0.22582377353903657
174,1,656,0.2843541896093278
175,1,660,0.08828831518244014
176,0,664,0.11853751251782227
177,2,666,0.0712378359805372
178,5,667,0.19419865405062495
179,2,668,0.3935994164225512
180,2,676,0.1332232444489781
181,1,677,0.09261269507058538
182,8,687,0.21863180557470407
183,6,689,0.1280255832447615
184,4,692,0.18195293974888663
185,7,693,0.05987677822074072
186,9,694,0.1521726578175498
187,0,696,0.18921441973032077
188,9,704,0.06998948285266601
189,8,709,0.3831483653339415
190,1,710,0.30275071049276703
191,2,711,0.17861757053126798
192,0,714,0.36081060860156233
193,9,715,0.2095433806396667
194,1,718,0.13546611093996047
195,8,721,0.2426478320213031
196,7,723,0.2302347655103199
197,7,726,0.1853455387194432
198,0,732,0.022631457029556396
199,8,733,0.18965796179652583
200,2,737,0.11548654543553728
201,6,742,0.28197062086257824
202,9,744,0.16277223566073457
203,8,746,0.10191526991264854
204,0,753,0.1605472110141458
205,1,754,0.13627212519617013
206,7,759,0.10554826038173312
207,0,762,0.14582087288752732
208,8,768,0.03517062174669307
209,0,769,0.23363428782767973
210,9,774,0.07304974132094819
211,8,777,0.12266792869460574
212,9,780,0.19011409518269265
213,5,785,0.23853564742119557
214,7,790,0.1430822641507135
215,8,793,0.12380805069311432
216,9,795,0.1452926588490441
217,4,805,0.43094221063261207
218,0,807,0.05195181807930559
219,0,808,0.18546208522918547
220,0,809,0.2963155605791347
221,1,810,0.35505239844317515
222,0,814,0.43370165201906474
223,8,817,0.11311125555200474
224,5,819,0.2493323626583491
225,0,823,0.1160593180176181
226,0,824,0.13543487982806582
227,8,827,0.24224890492880885
228,8,830,0.2154390819486114
229,1,833,0.516966197999822
230,7,834,0.06496901916022012
231,7,835,0.16412669193908097
232,8,838,0.13717231232434943
233,0,841,0.21950097774682295
234,9,845,0.2095433806396667
235,8,846,0.2650235196794775
236,1,848,0.07197602406880357
237,7,854,0.1094292678668672
238,7,855,0.22164789218434788
239,6,859,0.05797391706151159
240,2,860,0.3845015791089596
241,7,863,0.010905172823788965
242,8,864,0.16324132974607927
243,2,868,0.059909814213204335
244,4,878,0.3230906741781466
245,8,879,0.26240688491671954
246,2,882,0.13673657667729902
247,5,883,0.03630473074503343
248,5,885,0.403100651581768
249,0,886,0.10495174665923347
250,4,892,0.8202901852354623
251,5,898,0.0731639093608316
252,8,900,0.1281894403110634
253,0,901,0.10018039110917751
254,8,902,0.1562930892559834
255,0,907,0.09242938416566988
256,1,914,0.1858620038525688
257,2,915,0.21916951993758918
258,6,918,0.031534284983759264
259,1,919,0.16147855115890952
260,6,927,0.17201648767066632
261,2,932,0.05772495124615263
262,6,933,0.14138198181884154
263,9,935,0.2429089571945925
264,7,937,0.15074521579519365
265,4,940,0.4138432664387576
266,0,941,0.48230224900575536
267,9,942,0.10696386447523396
268,5,943,0.1642344814599681
269,0,945,0.24785001241571858
270,0,948,0.15108431046589296
271,9,953,0.08589795047674403
