dominant_topic,document_id,document_score
2,16,0.6626
4,18,0.3157
6,22,1.0
8,36,0.6906
9,38,0.5664
6,46,0.5347
4,52,1.0
2,58,1.0
1,61,0.7054
0,63,0.6419
3,67,0.0
9,69,0.5407
7,70,1.0
9,74,0.5022
6,76,0.5331
1,81,0.8617
3,83,1.0
6,86,0.3835
7,87,1.0
9,94,0.5899
4,97,0.4129
4,98,0.249
3,100,0.4013
9,102,0.4791
6,107,1.0
6,109,0.5722
6,110,0.468
4,120,1.0
2,122,1.0
4,124,0.3289
4,126,0.0
4,127,1.0
6,131,0.8776
9,132,1.0
9,137,0.2069
4,141,0.3442
6,142,0.5038
2,149,1.0
6,151,0.4337
0,152,0.376
8,153,0.0
0,162,0.6697
9,163,0.3031
8,164,1.0
8,168,0.79
1,169,0.0
8,170,0.3411
4,171,0.7657
3,172,0.0
4,190,0.3842
3,192,1.0
4,193,0.5769
3,211,0.2779
4,214,0.4254
2,215,1.0
6,219,0.2373
2,220,0.7129
1,227,0.4117
7,229,0.0
4,231,0.679
6,237,0.5228
4,239,0.4336
8,244,0.7049
2,247,1.0
3,248,1.0
3,251,0.0
3,266,0.0
8,271,0.4269
6,272,0.3311
2,273,0.5559
6,274,0.7981
8,276,0.0
9,280,1.0
2,281,0.6862
3,283,1.0
3,284,1.0
7,285,0.7214
2,286,1.0
9,289,1.0
8,290,0.5572
8,291,0.3588
6,293,0.0
1,296,0.3149
4,307,0.5641
4,312,0.539
8,315,0.7194
6,330,0.5409
9,333,0.4508
6,339,0.8261
6,341,0.6056
1,342,0.5691
6,344,0.7731
6,347,0.8197
6,350,0.6201
1,356,0.4379
0,358,1.0
0,359,0.6702
7,360,1.0
9,371,0.4375
9,373,0.67
6,374,0.5534
6,376,0.6203
4,383,0.354
6,385,0.4347
3,388,0.0
0,391,0.503
7,395,0.0
6,398,0.4589
2,403,0.3337
3,411,0.3144
7,419,0.3813
2,420,0.0
7,421,0.8026
6,429,0.5456
8,430,0.4221
3,431,1.0
4,437,0.5906
1,443,0.0
9,445,0.5422
7,456,0.5887
6,457,0.4305
9,460,0.3803
0,461,0.5669
9,468,0.7877
8,472,1.0
4,475,0.5249
1,476,0.0
9,480,0.285
6,485,0.6749
4,496,1.0
7,500,0.5949
9,507,0.4763
3,508,0.2697
6,512,1.0
3,520,0.5166
6,525,0.6737
9,528,0.5668
3,530,0.0
0,534,1.0
2,535,1.0
2,546,1.0
6,549,1.0
1,551,0.5698
8,553,0.0
2,557,0.6088
1,558,0.8692
1,561,1.0
3,562,0.552
0,563,0.3844
9,565,0.2316
9,570,0.8046
0,571,0.7858
3,579,0.0
3,583,0.3202
6,593,0.0
1,594,1.0
3,595,1.0
0,597,0.608
8,603,1.0
2,613,0.6818
8,617,0.0
6,619,0.4149
9,620,0.3319
3,622,0.6262
4,637,0.7462
6,642,0.406
3,644,1.0
1,645,1.0
7,646,0.6255
9,647,0.3136
9,648,0.7776
2,649,0.0
2,650,0.2542
8,655,0.6588
2,656,0.834
2,660,0.5199
0,664,0.5756
3,666,0.6262
8,667,0.5906
1,668,0.4161
1,676,0.4524
2,677,1.0
7,687,0.2966
4,689,1.0
4,692,1.0
9,693,0.0
7,694,0.5602
8,696,0.7955
3,704,1.0
7,709,0.2628
2,710,0.7144
3,711,0.4173
6,714,0.4605
3,715,0.5436
2,718,1.0
8,721,0.5611
9,723,0.4605
9,726,0.6215
6,732,0.7334
8,733,0.3241
3,737,1.0
4,742,0.6044
3,744,0.5273
8,746,1.0
0,753,0.2622
2,754,1.0
9,759,1.0
0,762,1.0
7,768,0.0
0,769,0.4391
3,774,0.6014
1,777,1.0
3,780,0.3691
8,785,0.8507
9,790,1.0
1,793,0.5856
3,795,0.3689
4,805,0.4134
0,807,0.0
0,808,0.5629
6,809,0.7247
2,810,0.3311
6,814,0.5537
7,817,0.6756
8,819,0.3076
0,823,0.5479
6,824,0.3194
8,827,0.4513
1,830,0.5543
2,833,0.2643
9,834,0.5045
9,835,0.4619
7,838,0.4019
6,841,0.8517
3,845,0.5436
8,846,0.4846
2,848,1.0
9,854,0.4007
9,855,0.8746
4,859,1.0
1,860,0.8283
