dominant_topic,document_id,document_score
12,1289,0.8229
10,1292,0.4931
7,1297,0.8312
3,1301,1.0
8,1302,1.0
13,1310,0.6976
3,1314,0.5042
12,1317,1.0
10,1335,0.8228
12,1339,0.2073
0,1341,1.0
7,1343,0.8641
9,1344,0.0
0,1345,0.7003
8,1346,1.0
10,1355,0.6792
12,1357,0.6785
14,1358,1.0
10,1374,0.4429
9,1381,1.0
0,1382,1.0
8,1384,0.3448
0,1392,0.266
9,1405,1.0
9,1407,0.0
3,1410,0.6873
7,1412,0.5331
9,1421,0.0
12,1426,0.5151
10,1431,0.515
14,1437,0.513
12,1440,0.4026
14,1447,1.0
9,1452,0.5171
11,1460,0.3077
7,1462,0.7546
7,1465,0.4855
10,1466,0.5232
1,1478,0.3752
9,1482,1.0
10,1487,0.7416
2,1496,1.0
11,1499,0.6937
9,1501,1.0
9,1507,0.0
12,1512,0.4813
4,1514,1.0
0,1516,0.3426
12,1518,0.6054
7,1521,0.0
12,1522,0.3243
1,1523,0.6628
7,1524,0.0
14,1526,0.0
12,1532,0.0
10,1536,0.361
10,1539,0.5289
9,1542,0.0
9,1543,1.0
9,1552,0.5171
8,1556,1.0
12,1563,0.3414
1,1571,1.0
5,1584,0.6301
2,1588,0.49
9,1591,0.0
14,1594,0.4622
3,1599,0.6737
1,1604,0.4778
8,1614,0.4671
8,1618,0.6506
11,1621,1.0
12,1624,0.6861
0,1629,1.0
3,1631,0.6323
1,1632,0.7036
1,1638,0.4433
14,1655,1.0
1,1657,0.3767
3,1668,0.8196
8,1669,0.4554
14,1703,0.3685
10,1705,0.2498
12,1717,0.466
4,1718,0.5195
2,1719,0.2972
6,1723,1.0
10,1724,0.6853
9,1735,0.0
8,1759,0.6429
14,1761,1.0
10,1765,0.3911
4,1783,1.0
10,1788,0.7405
2,1790,0.4358
10,1792,0.4743
7,1794,0.6999
4,1800,0.6478
10,1802,0.6843
7,1817,1.0
9,1819,0.8011
10,1821,1.0
12,1822,1.0
10,1826,0.3334
10,1831,0.3892
9,1837,1.0
6,1839,1.0
8,1840,1.0
1,1842,0.5624
10,1854,0.6773
9,1859,0.6462
12,1870,0.4256
10,1876,1.0
10,1879,0.631
12,1884,0.7089
8,1885,0.6432
10,1888,0.2812
14,1898,0.6959
1,1919,1.0
4,1922,1.0
0,1923,0.432
4,1926,0.6174
14,1927,0.3657
1,1943,0.6207
9,1945,1.0
10,1947,0.3846
4,1949,0.6648
9,1961,0.0
12,1970,0.357
13,1973,0.6582
2,1976,0.7225
12,1982,0.2318
9,1991,0.0
3,1994,0.6246
12,2000,0.3971
8,2003,0.5145
7,2005,0.5158
14,2010,1.0
13,2014,0.6019
2,2023,0.4981
2,2030,0.5853
3,2034,1.0
4,2039,0.3634
7,2046,1.0
8,2047,0.4306
14,2051,1.0
4,2053,1.0
9,2054,1.0
5,2057,0.2436
0,2058,1.0
7,2060,1.0
12,2063,0.6079
9,2064,1.0
9,2069,0.5595
3,2070,0.3071
9,2072,0.0
9,2073,1.0
8,2074,0.4396
11,2078,0.3567
12,2080,1.0
7,2085,0.5556
0,2099,1.0
9,2112,0.0
1,2115,0.3781
1,2124,0.788
11,2125,0.4597
1,2126,0.4866
9,2128,0.6462
1,2129,0.6524
2,2131,0.3024
2,2132,0.6755
2,2133,0.8059
1,2138,0.428
9,2142,0.0
4,2143,0.5082
9,2154,1.0
3,2159,0.3465
7,2167,1.0
0,2183,1.0
1,2184,0.6493
10,2188,0.2387
0,2191,0.0
10,2192,0.6586
8,2193,0.4601
0,2195,0.0
14,2201,0.3357
14,2203,0.4086
6,2204,1.0
4,2206,1.0
10,2213,0.3266
3,2216,1.0
11,2220,0.3493
4,2224,0.7362
0,2225,0.6755
14,2226,0.2516
10,2231,0.3789
4,2239,0.6752
0,2243,0.5001
1,2244,0.516
10,2250,0.3413
8,2257,1.0
2,2259,0.4599
0,2262,0.2501
4,2269,0.733
3,2270,0.244
11,2274,0.3736
5,2280,0.9169
3,2282,0.4383
8,2283,0.3505
3,2284,0.6003
2,2288,1.0
4,2289,0.7371
0,2296,0.5116
9,2297,1.0
12,2298,0.5076
10,2299,0.3102
3,2307,0.3356
7,2308,0.0
7,2309,0.831
0,2312,0.0
0,2321,0.4239
7,2324,1.0
3,2327,0.4263
12,2328,1.0
3,2335,0.571
3,2338,1.0
12,2342,0.4819
14,2343,0.5851
1,2347,0.0
5,2348,1.0
14,2351,0.4178
9,2353,1.0
0,2355,1.0
4,2357,1.0
12,2359,1.0
9,2360,0.5052
10,2363,0.6157
1,2369,0.3964
14,2373,0.5223
8,2386,0.4191
5,2388,0.6122
13,2399,1.0
0,2401,0.6474
11,2402,0.4581
1,2403,0.4716
4,2406,0.3156
8,2416,1.0
11,2419,0.3852
10,2425,0.286
3,2426,0.0
8,2434,0.0
1,2436,0.4984
10,2438,0.5266
9,2441,0.4107
1,2442,0.6467
11,2446,0.3205
3,2450,0.7144
2,2459,0.6627
9,2460,1.0
1,2462,0.5448
12,2466,0.4758
1,2469,0.6541
10,2471,0.6894
12,2483,1.0
11,2484,0.7122
11,2485,0.5739
10,2487,0.9294
7,2490,0.0
10,2494,0.5746
3,2496,0.5932
13,2497,0.4979
14,2502,1.0
4,2505,0.37
1,2507,0.475
10,2509,0.2447
9,2514,0.5018
10,2515,0.3306
7,2521,0.0
4,2522,0.392
8,2525,0.697
4,2528,1.0
12,2531,0.5676
9,2532,0.0
0,2538,0.4688
9,2540,1.0
11,2543,1.0
12,2545,0.6146
14,2551,1.0
3,2556,0.9126
12,2563,0.4085
14,2566,0.6468
12,2568,0.3779
4,2573,0.6621
1,2581,0.6057
8,2584,0.62
8,2585,0.334
12,2587,0.5463
11,2588,0.2599
3,2589,0.5222
4,2593,1.0
14,2604,1.0
9,2605,0.0
13,2611,0.5067
8,2616,1.0
1,2617,0.4898
3,2620,1.0
7,2623,1.0
12,2631,0.4
3,2634,0.5336
8,2639,0.5235
2,2644,0.7162
4,2645,1.0
9,2651,1.0
0,2654,1.0
8,2661,0.4643
8,2662,0.5758
0,2666,0.7949
12,2667,0.6001
2,2673,0.705
10,2675,0.2679
8,2676,0.7043
2,2678,0.4462
0,2680,1.0
4,2688,1.0
12,2695,0.3935
9,2696,1.0
0,2706,0.6493
8,2708,0.5485
1,2711,0.4131
9,2713,1.0
12,2716,0.5084
14,2723,0.581
9,2726,1.0
10,2728,0.7702
3,2731,1.0
8,2733,0.3342
14,2734,0.3804
14,2736,0.3266
8,2748,0.3424
9,2750,0.5171
14,2755,0.3121
4,2757,1.0
9,2761,0.5595
7,2776,1.0
14,2782,1.0
4,2783,1.0
12,2784,0.5769
8,2793,0.3408
2,2802,0.3324
7,2809,0.4041
2,2810,0.6028
0,2817,0.438
3,2819,0.1507
11,2820,0.3839
9,2823,0.5171
8,2835,0.0
9,2843,1.0
5,2850,0.6697
7,2851,1.0
3,2853,0.4043
3,2855,0.6365
1,2857,0.7913
3,2858,0.44
3,2860,0.4303
8,2861,0.6423
9,2869,0.0
14,2871,0.3541
12,2875,0.5237
12,2880,0.675
9,2885,0.6197
0,2888,0.0
12,2890,0.3579
1,2892,0.0
1,2895,0.2318
10,2896,0.445
8,2900,0.6185
3,2902,0.5665
7,2912,1.0
3,2915,0.3812
0,2918,0.5436
7,2921,1.0
3,2926,0.7409
10,2928,0.3309
9,2931,1.0
8,2932,0.3224
4,2934,1.0
5,2935,0.8439
4,2943,1.0
10,2948,0.591
14,2949,0.0
10,2952,1.0
4,2954,1.0
12,2955,0.6306
10,2957,0.2109
9,2960,0.5595
12,2969,0.5669
9,2981,0.5384
14,2989,1.0
13,2990,1.0
1,2992,0.862
10,2993,0.6732
8,2994,0.5041
5,3004,0.7632
8,3005,0.6139
3,3006,0.7099
10,3007,0.8025
4,3011,0.575
14,3012,0.0
11,3013,0.417
8,3014,0.5544
3,3019,0.7281
10,3020,0.3286
1,3022,1.0
14,3023,0.3732
14,3025,0.5331
1,3028,0.6914
5,3029,0.6561
1,3036,0.3727
9,3037,0.5
2,3059,0.4334
7,3062,0.5343
1,3064,0.3962
1,3069,0.3483
0,3074,0.4138
9,3076,0.5341
9,3078,1.0
12,3084,0.5287
12,3086,1.0
9,3087,1.0
12,3090,0.673
7,3091,0.0
2,3093,0.6722
9,3098,1.0
11,3101,0.5621
8,3102,0.5283
4,3108,0.53
12,3112,0.3611
2,3114,1.0
8,3117,0.5927
11,3119,0.5781
14,3125,0.0
4,3127,0.815
4,3140,1.0
10,3145,0.2791
4,3146,1.0
9,3150,0.6071
2,3152,0.6766
1,3160,0.226
7,3163,1.0
8,3165,0.5497
9,3166,0.5595
1,3170,0.532
2,3173,0.6447
0,3175,1.0
4,3176,1.0
3,3181,1.0
0,3182,1.0
4,3187,0.0
10,3191,0.4311
7,3198,0.4139
8,3202,0.491
3,3203,1.0
2,3204,0.3964
5,3205,0.7323
10,3209,0.685
5,3210,0.7123
1,3216,0.6471
5,3218,0.6511
2,3222,0.5934
3,3224,0.6731
8,3227,0.223
8,3228,1.0
3,3229,1.0
13,3237,1.0
1,3238,0.3942
10,3239,1.0
9,3243,0.0
1,3250,0.5567
8,3251,0.5107
12,3252,1.0
12,3253,0.0
1,3261,0.3663
11,3263,1.0
12,3264,1.0
7,3266,0.6554
12,3269,1.0
10,3270,1.0
4,3273,1.0
4,3274,0.6462
8,3276,0.4288
0,3280,1.0
11,3284,0.2902
3,3285,1.0
3,3290,0.734
9,3293,1.0
10,3298,0.5619
2,3299,0.3167
4,3300,0.0
4,3307,0.0
3,3309,0.4058
2,3310,0.565
4,3313,1.0
11,3314,0.5186
13,3316,0.5389
11,3319,0.6413
2,3320,0.7309
9,3321,0.4018
2,3323,0.5148
3,3327,0.636
8,3328,0.878
0,3333,1.0
4,3334,1.0
13,3346,0.606
2,3347,0.617
3,3348,0.6824
13,3349,1.0
7,3350,0.3543
12,3352,0.3622
9,3354,1.0
3,3357,0.7323
14,3361,0.4672
9,3362,1.0
9,3364,1.0
0,3365,1.0
10,3369,0.6602
4,3370,0.6032
12,3372,0.4268
0,3374,0.8679
3,3375,0.5336
0,3378,0.7893
11,3383,0.4705
3,3388,0.5183
9,3393,0.0
13,3394,0.6845
8,3395,1.0
7,3396,1.0
10,3399,0.7277
1,3400,0.2952
9,3404,1.0
5,3407,0.5988
14,3409,0.8388
10,3413,0.2769
7,3414,0.4823
1,3415,0.5306
3,3418,0.3551
9,3425,0.5595
4,3426,1.0
7,3427,0.7839
1,3429,0.499
14,3430,0.6059
10,3433,0.4646
0,3439,0.5032
2,3443,0.6717
12,3444,0.3275
9,3445,0.0
8,3447,0.3259
1,3448,1.0
7,3453,0.0
4,3454,0.4143
11,3462,0.5384
4,3464,1.0
0,3494,0.5476
12,3498,0.4192
2,3501,1.0
9,3506,0.0
4,3507,1.0
2,3511,0.5876
9,3520,0.0
12,3532,1.0
10,3533,0.3453
2,3539,0.5679
2,3541,0.7418
1,3544,0.3248
8,3545,0.5922
9,3546,0.0
9,3550,0.4148
7,3552,1.0
8,3554,0.4895
9,3556,1.0
11,3560,0.3029
9,3561,0.4335
4,3564,1.0
10,3570,0.5399
0,3573,0.7906
14,3575,0.2632
10,3580,1.0
14,3582,1.0
14,3589,0.1919
10,3590,0.3509
8,3597,0.8284
0,3601,1.0
14,3604,1.0
11,3608,0.2787
4,3611,1.0
14,3613,1.0
1,3630,0.6366
3,3633,0.8751
1,3636,0.7059
10,3641,0.7133
4,3643,0.7367
1,3651,0.4593
1,3652,0.6021
4,3654,0.6455
