dominant_topic,document_id,document_score
0,1335,1.0
4,1339,0.4297
0,1341,1.0
1,1343,0.7868
1,1344,0.0
0,1345,1.0
2,1346,1.0
0,1355,1.0
4,1357,0.9341
0,1358,0.0
0,1374,1.0
1,1381,0.0
0,1382,1.0
2,1384,0.6156
0,1392,0.5313
1,1405,1.0
1,1407,0.0
0,1410,1.0
1,1412,1.0
1,1421,0.0
4,1426,1.0
0,1431,0.637
0,1437,0.5195
4,1440,0.925
0,1447,1.0
1,1452,0.7067
4,1460,0.412
1,1462,1.0
1,1465,0.6056
0,1466,0.6803
4,1478,0.5721
1,1482,0.0
0,1487,1.0
3,1496,1.0
4,1499,0.7239
1,1501,1.0
1,1507,0.0
4,1512,1.0
1,1514,0.0
1,1516,0.5594
4,1518,0.9172
1,1521,0.0
4,1522,0.4432
4,1523,1.0
1,1524,0.0
0,1526,0.0
4,1532,0.0
0,1536,0.6895
0,1539,0.6567
1,1542,0.0
1,1543,1.0
1,1552,0.7067
2,1556,1.0
4,1563,0.5526
4,1571,1.0
0,1584,0.7762
3,1588,0.6903
1,1591,0.0
0,1594,0.4284
0,1599,1.0
4,1604,0.5061
2,1614,0.5156
2,1618,0.5767
4,1621,1.0
4,1624,0.7359
0,1629,0.0
0,1631,0.6166
4,1632,0.723
4,1638,0.6113
0,1655,0.0
4,1657,0.526
0,1668,1.0
2,1669,0.7236
0,1703,0.4783
0,1705,0.6507
4,1717,0.669
0,1718,1.0
3,1719,0.3763
3,1723,0.0
0,1724,0.0
1,1735,0.0
2,1759,0.7129
0,1761,1.0
0,1765,0.6073
1,1783,0.0
0,1788,0.6627
3,1790,0.5716
0,1792,0.4987
1,1794,0.7821
1,1800,0.7618
0,1802,1.0
1,1817,1.0
1,1819,0.5192
0,1821,0.7417
4,1822,1.0
0,1826,0.6464
0,1831,0.5307
1,1837,1.0
3,1839,1.0
2,1840,1.0
4,1842,0.9174
0,1854,0.5949
1,1859,1.0
4,1870,1.0
0,1876,0.0
0,1879,0.8223
4,1884,0.9145
2,1885,0.8733
0,1888,0.41
0,1898,0.5451
4,1919,1.0
1,1922,1.0
0,1923,0.5205
1,1926,1.0
0,1927,0.6534
4,1943,0.6703
1,1945,0.0
0,1947,0.5457
1,1949,1.0
1,1961,0.0
4,1970,0.8384
2,1973,0.5089
3,1976,0.8988
0,1982,0.3171
1,1991,0.0
0,1994,1.0
4,2000,0.9046
2,2003,0.6728
1,2005,0.5974
0,2010,0.0
2,2014,1.0
3,2023,1.0
3,2030,1.0
0,2034,1.0
0,2039,0.5909
1,2046,1.0
2,2047,0.3948
0,2051,1.0
0,2053,0.0
1,2054,1.0
0,2057,0.403
1,2058,0.0
1,2060,1.0
4,2063,0.7511
1,2064,1.0
1,2069,0.5649
0,2070,0.5978
1,2072,0.0
1,2073,0.0
2,2074,0.6829
4,2078,0.5583
4,2080,0.0
1,2085,1.0
1,2099,0.0
1,2112,0.0
4,2115,0.3797
4,2124,1.0
4,2125,0.4753
4,2126,0.7367
1,2128,1.0
4,2129,0.8634
3,2131,0.3762
3,2132,0.7141
3,2133,0.7513
4,2138,0.5687
1,2142,0.0
0,2143,1.0
1,2154,0.0
0,2159,0.8854
1,2167,1.0
1,2183,0.0
4,2184,0.7904
0,2188,0.3775
1,2191,0.0
0,2192,0.7807
2,2193,0.5576
1,2195,0.0
0,2201,0.6286
0,2203,0.6787
3,2204,1.0
1,2206,0.0
0,2213,0.6174
0,2216,0.5197
4,2220,0.5885
1,2224,1.0
1,2225,0.6774
0,2226,0.5206
0,2231,0.467
0,2239,1.0
0,2243,0.0
4,2244,0.7004
0,2250,0.4292
2,2257,1.0
3,2259,0.6559
1,2262,0.3449
0,2269,0.5207
0,2270,0.4484
4,2274,0.3441
0,2280,0.0
0,2282,0.5124
2,2283,0.49
0,2284,0.8276
3,2288,1.0
0,2289,0.5204
0,2296,1.0
1,2297,0.0
4,2298,1.0
0,2299,0.6946
0,2307,0.4665
1,2308,0.0
1,2309,0.8924
1,2312,0.0
0,2321,0.719
1,2324,1.0
0,2327,0.652
4,2328,0.0
4,2335,1.0
0,2338,0.0
0,2342,0.4865
0,2343,1.0
4,2347,0.0
0,2348,0.0
0,2351,0.5869
1,2353,0.0
0,2355,0.0
0,2357,1.0
0,2359,1.0
1,2360,0.5002
0,2363,1.0
4,2369,0.4864
0,2373,1.0
2,2386,0.5232
0,2388,0.5757
2,2399,1.0
0,2401,0.0
0,2402,0.5784
4,2403,0.9131
1,2406,0.7197
2,2416,1.0
0,2419,0.5718
0,2425,0.561
0,2426,0.0
2,2434,1.0
4,2436,0.5666
0,2438,0.8086
1,2441,1.0
4,2442,0.674
0,2446,0.2905
0,2450,0.5548
3,2459,1.0
1,2460,0.0
4,2462,1.0
4,2466,0.6595
4,2469,1.0
0,2471,1.0
4,2483,0.0
4,2484,1.0
4,2485,0.6492
0,2487,0.8398
1,2490,0.0
0,2494,0.4534
0,2496,0.6288
2,2497,0.6634
0,2502,0.0
1,2505,0.4983
4,2507,0.3262
0,2509,0.5085
1,2514,0.0
0,2515,0.51
1,2521,0.0
0,2522,0.659
2,2525,0.5663
1,2528,0.0
4,2531,0.8554
1,2532,0.0
0,2538,1.0
1,2540,0.0
0,2543,0.0
0,2545,1.0
0,2551,0.0
4,2556,0.7505
4,2563,0.6302
0,2566,1.0
4,2568,0.6008
1,2573,1.0
4,2581,0.8332
