|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|id|dominant_topic
54|0.0|0.0|1.0|0.0|0.0|215|2
55|0.3492|0.1801|0.1337|0.3091|0.028|219|0
56|0.0|0.0|0.7503|0.2497|0.0|220|2
57|0.5358|0.221|0.0|0.2432|0.0|227|3
58|0.0|0.0|0.0|0.0|0.0|229|0
59|0.0|0.0995|0.197|0.0|0.7035|231|4
60|0.0|1.0|0.0|0.0|0.0|237|1
61|0.0|0.2232|0.1709|0.0|0.6059|239|4
62|0.9502|0.0|0.0|0.0498|0.0|244|0
63|0.0|0.0|0.0|0.0|0.0|247|2
64|0.0|0.0|1.0|0.0|0.0|248|2
65|0.0|0.0|0.0|0.0|1.0|251|2
66|0.0|0.0|0.0|0.0|0.0|266|2
67|0.4906|0.1554|0.0|0.2121|0.1419|271|0
68|0.1822|0.4776|0.0|0.3402|0.0|272|1
69|0.0|0.0|0.7005|0.2995|0.0|273|2
70|0.0|1.0|0.0|0.0|0.0|274|1
71|0.0|0.0|0.0|0.0|0.0|276|0
72|0.0|0.0|0.0|1.0|0.0|280|3
73|0.0|0.2028|0.0|0.2054|0.5918|281|2
74|0.0|0.0|1.0|0.0|0.0|283|2
75|0.0|0.0|0.0|0.0|1.0|284|2
76|1.0|0.0|0.0|0.0|0.0|285|0
77|0.0|1.0|0.0|0.0|0.0|286|2
78|0.0|0.0|0.0|1.0|0.0|289|3
79|1.0|0.0|0.0|0.0|0.0|290|0
80|0.6468|0.0|0.2133|0.1399|0.0|291|0
81|0.0|0.0|0.0|0.0|0.0|293|1
82|0.0|0.0|0.5468|0.4532|0.0|296|3
83|0.0|0.2324|0.0|0.0449|0.7227|307|4
84|0.0351|0.2745|0.0541|0.0|0.6363|312|4
85|0.6116|0.3884|0.0|0.0|0.0|315|0
86|0.0|0.0|0.0|0.0|0.0|330|1
87|0.3039|0.2175|0.0|0.4786|0.0|333|3
88|0.0|0.802|0.0|0.198|0.0|339|1
89|0.0299|0.8476|0.033|0.0305|0.0589|341|1
90|0.0|0.0|0.4561|0.5439|0.0|342|3
91|0.0|0.6439|0.3561|0.0|0.0|344|1
92|0.3269|0.6731|0.0|0.0|0.0|347|1
93|0.0|1.0|0.0|0.0|0.0|350|1
94|0.3972|0.0594|0.2474|0.2961|0.0|356|3
95|0.0|0.0|0.0|0.0|0.0|358|1
96|0.0|1.0|0.0|0.0|0.0|359|1
97|1.0|0.0|0.0|0.0|0.0|360|0
98|0.0|0.6325|0.0|0.3675|0.0|371|3
99|0.0|0.5104|0.0|0.4896|0.0|373|3
100|0.0|1.0|0.0|0.0|0.0|374|1
101|0.0|1.0|0.0|0.0|0.0|376|1
102|0.0|0.4297|0.0|0.156|0.4143|383|4
103|0.1938|0.7298|0.0|0.0|0.0764|385|1
104|0.0|0.0|0.0|0.0|0.0|388|2
105|0.0|0.3694|0.0|0.0|0.6306|391|1
106|0.0|0.0|0.0|0.0|0.0|395|0
107|0.1495|0.6888|0.0|0.0805|0.0812|398|1
108|0.0|0.0|0.4548|0.5452|0.0|403|2
109|0.0|0.4952|0.2576|0.2472|0.0|411|2
110|0.5384|0.0|0.0|0.4616|0.0|419|0
111|0.0|0.0|0.0|0.0|0.0|420|2
112|1.0|0.0|0.0|0.0|0.0|421|0
113|0.0|0.6934|0.0|0.3066|0.0|429|1
114|0.0|0.471|0.529|0.0|0.0|430|0
